canton_id,canton,city_id,city,canton_rate,commune_rate,protestant,roman,christian,splitting_rate
1,ZH,131,Adliswil,99.0,102.0,10.0,8.0,14.0,0
1,ZH,241,Aesch (ZH),99.0,91.0,11.0,11.0,14.0,0
1,ZH,1,Aeugst am Albis,99.0,95.0,12.0,13.0,14.0,0
1,ZH,2,Affoltern am Albis,99.0,124.0,12.0,13.0,14.0,0
1,ZH,211,Altikon,99.0,114.0,12.0,13.0,14.0,0
1,ZH,291,Andelfingen,99.0,114.0,12.0,14.0,14.0,0
1,ZH,51,Bachenbülach,99.0,106.0,10.0,11.0,14.0,0
1,ZH,81,Bachs,99.0,128.0,14.0,11.0,14.0,0
1,ZH,52,Bassersdorf,99.0,114.0,12.0,9.0,14.0,0
1,ZH,297,Bauma,99.0,120.0,14.0,13.0,14.0,0
1,ZH,22,Benken (ZH),99.0,110.0,14.0,14.0,14.0,0
1,ZH,23,Berg am Irchel,99.0,98.0,12.0,13.0,14.0,0
1,ZH,242,Birmensdorf (ZH),99.0,112.0,11.0,11.0,14.0,0
1,ZH,3,Bonstetten,99.0,109.0,12.0,11.0,14.0,0
1,ZH,82,Boppelsen,99.0,96.0,13.0,10.0,14.0,0
1,ZH,213,Brütten,99.0,89.0,12.0,13.0,14.0,0
1,ZH,112,Bubikon,99.0,118.0,14.0,12.0,14.0,0
1,ZH,24,Buch am Irchel,99.0,106.0,12.0,13.0,14.0,0
1,ZH,83,Buchs (ZH),99.0,110.0,11.0,10.0,14.0,0
1,ZH,111,Bäretswil,99.0,106.0,14.0,13.0,14.0,0
1,ZH,53,Bülach,99.0,110.0,10.0,11.0,14.0,0
1,ZH,25,Dachsen,99.0,112.0,12.0,14.0,14.0,0
1,ZH,86,Dielsdorf,99.0,105.0,12.0,11.0,14.0,0
1,ZH,243,Dietikon,99.0,123.0,12.0,13.0,14.0,0
1,ZH,54,Dietlikon,99.0,102.0,12.0,8.0,14.0,0
1,ZH,216,Dinhard,99.0,87.0,12.0,13.0,14.0,0
1,ZH,26,Dorf,99.0,109.0,14.0,13.0,14.0,0
1,ZH,214,Dägerlen,99.0,105.0,14.0,13.0,14.0,0
1,ZH,84,Dällikon,99.0,108.0,11.0,10.0,14.0,0
1,ZH,85,Dänikon,99.0,122.0,11.0,10.0,14.0,0
1,ZH,215,Dättlikon,99.0,116.0,12.0,13.0,14.0,0
1,ZH,191,Dübendorf,99.0,96.0,11.0,10.0,14.0,0
1,ZH,113,Dürnten,99.0,113.0,14.0,12.0,14.0,0
1,ZH,192,Egg,99.0,101.0,12.0,9.0,14.0,0
1,ZH,55,Eglisau,99.0,113.0,13.0,13.0,14.0,0
1,ZH,294,Elgg,99.0,115.0,14.0,14.0,14.0,0
1,ZH,218,Ellikon an der Thur,99.0,119.0,12.0,13.0,14.0,0
1,ZH,219,Elsau,99.0,120.0,14.0,13.0,14.0,0
1,ZH,56,Embrach,99.0,118.0,12.0,13.0,14.0,0
1,ZH,151,Erlenbach (ZH),99.0,79.0,9.0,7.0,14.0,0
1,ZH,172,Fehraltorf,99.0,109.0,13.0,12.0,14.0,0
